,appID,body,recordID,relevant,reviewID,score,timestamp,title,Potential or Activity,Victim/Abuser/Third
300,378450421,"This app is unlike any other one. It gives you more than what mobile me can. I got it 3 versions ago when it had a lot of potential but was still pretty buggy and basic. But now it's really starting to get good with the updates. I love that you can take a picture and am constantly spying on coworkers at my desk from my laptop. You should make it access more features on the phone, voice recorder/video/ipod.

Totally worth the 2 bucks.",580,y,352078363,,2010-09-25T01:42:02Z,Why isn't it in top 10,A,A
256,378450421,"Great App. This is what I was looking/waiting for.  Works perfectly.

BUT, like the other reviewer said, it kills the battery.

The creator has to find a way to fix this.
  
Also maybe there's a way to change the settings to let say i lost my phone. Then i go online and basically wake up the App/gps. By this it's not constantly coonecting to gps satellite that kills the batt.

This is also good to spy on someone.

Right now i have to uninstall it.",631,y,316435210,,2010-07-04T00:31:12Z,Great,P,T
107,886626229,i can spy on my child whenever i want its amazing he cant go anywhere without me knowing look,4198,y,4072888865,,2019-04-28T17:19:11Z,It's a good app..,A,A
30,886626229,"Great app for families keeping track of their kids,friends or if they just wanna be creepy stalkers.",4203,,5086003797,,2019-11-04T17:48:28Z,Love,A,A
278,886626229,App work great. Another way of spying on people.,4676,,3805982824,,2019-02-23T18:36:58Z,amazingggg,A,A
118,886626229,Now that I can spy on my wife I'll always know when she's cheating. Thank you for the divorce,4950,y,1720424219,,2017-08-09T18:42:27Z,I'm watching u,A,A
165,886626229,Now that I can spy on my wife I&#39;ll always know when she&#39;s cheating. Thank you for the divorce,5302,,1720424219,,2017-08-09T18:42:27Z,I'm watching u,A,A
95,947187941,"This app use to work well, now with the latest update devices don’t show up. I opted to pay so I wouldn’t be detected and for what it doesn’t work. Now I have to find another app or just pay for spyware so I can be sure she isn’t out on drugs while I’m working",5320,y,2831298565,,2018-07-04T02:09:36Z,No good,A,A
15,400119299,I'm only a kid just want to spy on my sister thanks but only if Its good,6024,y,901366932,,2013-11-27T18:06:58Z,Didn't try yet,P,T
69,384830320,"Honestly, as a teen, I love this app.
Now, my parents don’t even know what this app is, so you might be wondering why I have it. Well me and my friends are insane so we mostly use it to yell at each other to charge our phones but tbh I can also spy on my friends so I meannnn",6891,,5459974031,,2020-01-28T22:21:00Z,E,A,A
205,384830320,"apps like these have their good benefits but when it comes in the hands of parents who are awfully controlling and strict, it is no longer used for safety and precaution. It just becomes an app to spy on your children to see where they’re located. this app is a good app for families who genuinely care about the wellbeing of their kids, but if you’re a parent who wants to control your child's every move then you shouldn’t download this app",6945,y,4866901766,,2019-10-01T00:10:10Z,pros and cons,A,V
253,384830320,"I hate this app it’s an app used to stalk kids. Let them live there lives, whoever made this app should be ashamed of themselves. This is what make kids sneaky. Weirdos",6992,,5428682093,,2020-01-20T22:13:09Z,Terrible,A,V
216,384830320,"If your a parent and you are making your kids get this app for no reason, then you have no trust in your kids. you should always trust your kids. this app is basically a stalker app and no one should have to use it. i might as well wear my ankle tracker and be on house arrest",6995,,5428433970,,2020-01-20T20:36:06Z,Not good,A,V
228,384830320,This app doesn’t let kids be free. Teen years is a time to have fun and with ur parents stalking u it can turn into the worst years.,7279,,5357043262,,2020-01-03T21:49:20Z,I hate this,A,V
186,384830320,This app is useful to stalk my parents but honestly i’m on it more than apps like snapchat and tiktok because i have become obsessed with where my family is at all times.,7326,,5353155579,,2020-01-03T00:41:58Z,Invasion of privacy,A,A
178,384830320,Parents need to stop stalking there kids your not giving them freedom your showing them that you don’t trust them this app should be removed,7379,,5349610358,,2020-01-02T04:39:56Z,Stop stalking them,A,V
232,384830320,"absolutely horrible y’all all about STALKING YOUR CHILDREN AND FRIENDS UH UH, NO NO. i was absolutely torn when my parents told me they needed to MONITOR WHERE I GO AND WHO I SEE. i’m just trying to have fun as the trusty teenager i am but NOOOOOOOOOOOOOOOOOOOO I CANT so full on HATE THIS APP.",7489,,5337907461,,2019-12-30T09:18:14Z,horrible,A,V
165,384830320,i had an awful experience with this app. as a parent i believe that parents need to have a real trust worthy relationship with their kids instead of stalking them on this app. parents need to trust their kids more and with that comes their kids talking to them about EVERYTHING,7514,,5337199250,,2019-12-30T04:26:18Z,my review,A,V
310,384830320,I never thought being a stalker would be so cool. I know exactly where my husband is at all times. (Never really was the stalking kind). All kidding aside. This app is amazing. And my 11 &amp; 13 year olds are going to LOVE ME in the future.,7549,,5336129452,,2019-12-29T21:36:57Z,New Appreciation for the word Stalker!,A,A
116,384830320,"this app is ruining trust with parents. trust can’t be forced , it needs to be earned. spying on your kids only makes them more sneaky and rebellious , and there are reasons why children don’t speak to or trust their parents , especially with this app. if you want to avoid problems with your child , don’t watch them like a hawk with this app.",7559,,5333254799,,2019-12-29T05:23:29Z,NO trust with kids,A,V
150,384830320,Just why would someone make this app just to spy on teens,7808,,5268137411,,2019-12-13T16:16:14Z,Why,A,V
261,384830320,It is not possible to make a creepier or worse app if you are about to get this app to stalk your kids don’t because thats not at all okay this app should be illegal.,7855,,5265354358,,2019-12-12T23:26:42Z,Horrible,A,V
76,384830320,This app literally ruined my teenage years I have absolutely no privacy my parents are always stalking me now for no reason .,7866,,5265116956,,2019-12-12T21:52:33Z,Hate it,A,V
126,384830320,This app is very controlling and very stalker like. I think this is not needed because it destroys any trust a child can have with their parent/guardian. It also implies that parents don’t trust their children because their excuses are crazy.,7899,,5261868844,,2019-12-12T03:48:38Z,BAN LIFE 360,A,V
28,384830320,I can leave my phone anywhere and my parents will think I’m there. Helps me locate when they r coming home as well. Love stalking my family,7983,,5240649038,0,2019-12-06T15:51:23Z,It helps us kids too,A,A
146,384830320,"this is a whole new way of stalking people and it&#39;s disgusting. my mom already got trust issues with me and this basically makes this worst. apps like these shouldn&#39;t even exist. it makes parents OBSESS to know when, where they&#39;re kids are at and it&#39;s just not ok. it&#39;s basically stalking your kid and that&#39;s disgusting, this makes parents build up trust issues because you weren&#39;t were you were supposed to be on their accord or whatever so honestly? don&#39;t download it and just fully trust your kid and check up on them instead of being  a creep with your face glued to your screen seeing their every move. it&#39;s disgusting.",7990,,5236287670,,2019-12-05T13:35:09Z,yall need help,A,V
199,384830320,"This app is useful in regards of keeping track of people if they are lost or get kidnapped(especially useful because of recent occurrences with human trafficking). HOWEVER, I do not condone this app to be used to stalk your child and constantly keep tabs on them. That is how you create a sneaky child who will find ways to go around it. It is all about trust, my parents always knew where I was going and what I was doing. Every kid drinks at least once underage, that’s inevitable due to peer pressure. Just trust that you raised your child right and that they will be safe while out with friends. I cannot stand parents who hold their children back excessively.",8070,,5208170220,,2019-11-28T15:57:06Z,Hm,A,V
68,384830320,This is a really good app if u want to spy on your spouse I found out my boyfriend was cheating on me great app I recommend this app,8171,,5176613670,,2019-11-21T12:58:10Z,I like the app,A,A
221,384830320,"Three kids in college always driving home...this app gives me peace of mind without having to text or call while they are on the road to check on them. I love it! Don’t use it to spy though, that’s not cool.",8282,y,4569990339,,2019-08-04T22:51:27Z,Peace of Mind,P,T
269,384830320,You just got my friend grounded because we went on a walk around our neighborhood and maybe a little past that and we were safe and didn’t do anything bad but because of this gay stalker app my mom got a notification that I went past my street so thanks a lot,8331,,5114816907,,2019-11-10T01:39:51Z,Good job,A,V
92,384830320,bro this app is high key creepy. when i’m with my dad on his days my mom even mentions how she knew everything i was doing and it even made my dad creeped out. if you need this app then ngl yo wack. i don’t want my mom stalking me.,8602,,4989422036,,2019-10-21T00:01:24Z,way to easy to be stalked by out of picture parents,A,V
62,384830320,This app is focused on to narrow of a group. This company bought out Couple from Tenthbit Inc. but added nothing from that amazing app. I thought it would function as a replacement to build intimacy with my wife but this is just cold intrusive spy ware for worrisome parents. It’s like something from the Netflix Series Black Mirror. There is nothing for the “whole” family. It’s only about parents keeping track of their children’s every move. Works for that I guess. But I would be careful of the Breakdown in Trust.,8648,y,4485236115,,2019-07-19T12:27:23Z,ENDED COUPLE FOR THIS COLD APP?!,P,T
115,384830320,Only get this app to stalk ur kids if you want them to despise you &lt;3,9729,,4683216863,,2019-08-27T23:08:44Z,Nah,A,V
285,384830320,This app is garbage my mom uses this to spy on me every day. I’m a 12 year old forced to download this garbage. It makes me sick that i am constantly spied on.,9817,,4662243612,,2019-08-23T23:08:17Z,This is garbage,A,V
238,384830320,This app is great for tracking family!!! When I want to know how far away they are to spying on them this app is great for both!!,9819,,4662071363,,2019-08-23T22:15:56Z,Great!!,A,A
63,384830320,This app is the best ever because I can spy on people,10291,,4569875700,,2019-08-04T22:18:08Z,The best app,A,A
211,384830320,"I love this app, just great because you can time your day accordingly, I like my girlfriend knowing where I am and I love stalking her, we have fun with it.. it’s great to see where all you friends are. You can always turn it off but I never do",10398,,4546880137,,2019-07-31T17:11:17Z,Stalker lol,A,A
64,384830320,I love seeing where my family members are during the day. Love to spy on them.,10727,,4467553781,,2019-07-16T00:46:54Z,Love this app,A,A
289,384830320,this is the wirst invention ever like you just added a app to stalk your children?,10978,,4417492856,,2019-07-06T03:51:45Z,dude why the hell-,A,V
197,384830320,Parents use this app to stalk their kids.,11075,,4396970902,,2019-07-01T14:28:09Z,Stalker,A,V
284,384830320,This app is an invasion of kids privacy. Parents should trust their kids and not resort to stalking them. That’s how you push away your kids. My mom made me download this app and I hate it. And I hate her for making me get it. It has put a strain on our relationship as mother and daughter and she has yet to see it. She’s to wrapped up in her own mind and not worrying about how its effecting her own kids,11205,,4377556720,,2019-06-27T16:15:01Z,Why I hate the app,A,V
148,384830320,this app is ridiculous!!! i’m sorry but this app is almost a stalking mechanism. it’s not okay. you should be able to trust your kids sometimes. you shouldn’t need an app to constantly watch your kids. i think this app needs to be taken down a notch. kids can’t even have a good time anymore without their parents knowing every single thing. no way will i support this physco app,11432,,4336553262,,2019-06-19T00:51:16Z,ridiculous app,A,V
56,384830320,This is the BEST APP ever invented!!  I can keep track of my teenage daughter at all times and know if she gets in a wreck or has an emergency!!  THANK YOU!!  And no I’m not an overprotective Mother that stalks my daughter!!  This app just keeps me up to date with her!!  :),11753,,4270937484,,2019-06-06T06:06:16Z,AWESOME APP,A,A
104,384830320,"F*** this app, it’s so good my mom can literally see up my a**. It’s great if you’re trying to stalk someone, if you’re being stalked you’re 100% gonna be found.",12100,,4181671797,,2019-05-20T16:25:16Z,Good and Bad,A,V
11,384830320,"Best GPS App out there. If you have people you love and you would just like to know they are safe, this is it. If you’re an international spy such as James Bond, this is the App. A hundred different ways you can use this app beyond the obvious.",12229,y,3794906761,,2019-02-21T02:03:41Z,Best multi-use GPS out there.,A,A
150,384830320,"Kids can’t do anything with their friends without their parents watching them 24/7 this app is like spying, kids have no freedom due to this app whoever developed this app is ruining fun childhoods",12260,,4145018246,,2019-05-13T17:32:32Z,Ruins kids freedom,A,V
196,384830320,Worst app ever random people can stalk you,12575,,4087044028,,2019-05-01T22:12:50Z,Stalkers,A,V
